id,duration,segment_531184_news_type,segment_531184_topic_primary,segment_531184_topic_secondary,segment_531184_issue_primary,segment_531184_issue_secondary,segment_459119_news_type,segment_459119_topic_primary,segment_459119_topic_secondary,segment_459119_issue_primary,segment_459119_issue_secondary,segment_1135470_news_type,segment_1135470_topic_primary,segment_1135470_topic_secondary,segment_1135470_issue_primary,segment_1135470_issue_secondary,segment_1087196_news_type,segment_1087196_topic_primary,segment_1087196_topic_secondary,segment_1087196_issue_primary,segment_1087196_issue_secondary,segment_274649_news_type,segment_274649_topic_primary,segment_274649_topic_secondary,segment_274649_issue_primary,segment_274649_issue_secondary,segment_231875_news_type,segment_231875_topic_primary,segment_231875_topic_secondary,segment_231875_issue_primary,segment_231875_issue_secondary,segment_1133632_news_type,segment_1133632_topic_primary,segment_1133632_topic_secondary,segment_1133632_issue_primary,segment_1133632_issue_secondary,segment_566509_news_type,segment_566509_topic_primary,segment_566509_topic_secondary,segment_566509_issue_primary,segment_566509_issue_secondary,segment_315442_news_type,segment_315442_topic_primary,segment_315442_topic_secondary,segment_315442_issue_primary,segment_315442_issue_secondary,segment_290556_news_type,segment_290556_topic_primary,segment_290556_topic_secondary,segment_290556_issue_primary,segment_290556_issue_secondary,segment_997164_news_type,segment_997164_topic_primary,segment_997164_topic_secondary,segment_997164_issue_primary,segment_997164_issue_secondary,segment_441929_news_type,segment_441929_topic_primary,segment_441929_topic_secondary,segment_441929_issue_primary,segment_441929_issue_secondary,segment_539872_news_type,segment_539872_topic_primary,segment_539872_topic_secondary,segment_539872_issue_primary,segment_539872_issue_secondary,segment_152300_news_type,segment_152300_topic_primary,segment_152300_topic_secondary,segment_152300_issue_primary,segment_152300_issue_secondary,segment_1305044_news_type,segment_1305044_topic_primary,segment_1305044_topic_secondary,segment_1305044_issue_primary,segment_1305044_issue_secondary,segment_566292_news_type,segment_566292_topic_primary,segment_566292_topic_secondary,segment_566292_issue_primary,segment_566292_issue_secondary,segment_220588_news_type,segment_220588_topic_primary,segment_220588_topic_secondary,segment_220588_issue_primary,segment_220588_issue_secondary,segment_1240910_news_type,segment_1240910_topic_primary,segment_1240910_topic_secondary,segment_1240910_issue_primary,segment_1240910_issue_secondary,segment_719556_news_type,segment_719556_topic_primary,segment_719556_topic_secondary,segment_719556_issue_primary,segment_719556_issue_secondary,segment_241573_news_type,segment_241573_topic_primary,segment_241573_topic_secondary,segment_241573_issue_primary,segment_241573_issue_secondary,segment_135965_news_type,segment_135965_topic_primary,segment_135965_topic_secondary,segment_135965_issue_primary,segment_135965_issue_secondary,segment_1435007_news_type,segment_1435007_topic_primary,segment_1435007_topic_secondary,segment_1435007_issue_primary,segment_1435007_issue_secondary,segment_215147_news_type,segment_215147_topic_primary,segment_215147_topic_secondary,segment_215147_issue_primary,segment_215147_issue_secondary,segment_3647_news_type,segment_3647_topic_primary,segment_3647_topic_secondary,segment_3647_issue_primary,segment_3647_issue_secondary,segment_1027568_news_type,segment_1027568_topic_primary,segment_1027568_topic_secondary,segment_1027568_issue_primary,segment_1027568_issue_secondary,segment_237032_news_type,segment_237032_topic_primary,segment_237032_topic_secondary,segment_237032_issue_primary,segment_237032_issue_secondary,segment_356124_news_type,segment_356124_topic_primary,segment_356124_topic_secondary,segment_356124_issue_primary,segment_356124_issue_secondary,segment_206617_news_type,segment_206617_topic_primary,segment_206617_topic_secondary,segment_206617_issue_primary,segment_206617_issue_secondary,segment_42624_news_type,segment_42624_topic_primary,segment_42624_topic_secondary,segment_42624_issue_primary,segment_42624_issue_secondary,segment_843905_news_type,segment_843905_topic_primary,segment_843905_topic_secondary,segment_843905_issue_primary,segment_843905_issue_secondary,segment_73259_news_type,segment_73259_topic_primary,segment_73259_topic_secondary,segment_73259_issue_primary,segment_73259_issue_secondary,segment_122439_news_type,segment_122439_topic_primary,segment_122439_topic_secondary,segment_122439_issue_primary,segment_122439_issue_secondary,segment_1066621_news_type,segment_1066621_topic_primary,segment_1066621_topic_secondary,segment_1066621_issue_primary,segment_1066621_issue_secondary,segment_83016_news_type,segment_83016_topic_primary,segment_83016_topic_secondary,segment_83016_issue_primary,segment_83016_issue_secondary,segment_510029_news_type,segment_510029_topic_primary,segment_510029_topic_secondary,segment_510029_issue_primary,segment_510029_issue_secondary,segment_13892_news_type,segment_13892_topic_primary,segment_13892_topic_secondary,segment_13892_issue_primary,segment_13892_issue_secondary,segment_494402_news_type,segment_494402_topic_primary,segment_494402_topic_secondary,segment_494402_issue_primary,segment_494402_issue_secondary,segment_135374_news_type,segment_135374_topic_primary,segment_135374_topic_secondary,segment_135374_issue_primary,segment_135374_issue_secondary,segment_1206755_news_type,segment_1206755_topic_primary,segment_1206755_topic_secondary,segment_1206755_issue_primary,segment_1206755_issue_secondary,segment_1464608_news_type,segment_1464608_topic_primary,segment_1464608_topic_secondary,segment_1464608_issue_primary,segment_1464608_issue_secondary,segment_441343_news_type,segment_441343_topic_primary,segment_441343_topic_secondary,segment_441343_issue_primary,segment_441343_issue_secondary,segment_459186_news_type,segment_459186_topic_primary,segment_459186_topic_secondary,segment_459186_issue_primary,segment_459186_issue_secondary,segment_1141620_news_type,segment_1141620_topic_primary,segment_1141620_topic_secondary,segment_1141620_issue_primary,segment_1141620_issue_secondary,segment_338221_news_type,segment_338221_topic_primary,segment_338221_topic_secondary,segment_338221_issue_primary,segment_338221_issue_secondary,segment_82581_news_type,segment_82581_topic_primary,segment_82581_topic_secondary,segment_82581_issue_primary,segment_82581_issue_secondary,segment_965175_news_type,segment_965175_topic_primary,segment_965175_topic_secondary,segment_965175_issue_primary,segment_965175_issue_secondary,segment_1159282_news_type,segment_1159282_topic_primary,segment_1159282_topic_secondary,segment_1159282_issue_primary,segment_1159282_issue_secondary,segment_440871_news_type,segment_440871_topic_primary,segment_440871_topic_secondary,segment_440871_issue_primary,segment_440871_issue_secondary,segment_397496_news_type,segment_397496_topic_primary,segment_397496_topic_secondary,segment_397496_issue_primary,segment_397496_issue_secondary,segment_559470_news_type,segment_559470_topic_primary,segment_559470_topic_secondary,segment_559470_issue_primary,segment_559470_issue_secondary,segment_861326_news_type,segment_861326_topic_primary,segment_861326_topic_secondary,segment_861326_issue_primary,segment_861326_issue_secondary,segment_396531_news_type,segment_396531_topic_primary,segment_396531_topic_secondary,segment_396531_issue_primary,segment_396531_issue_secondary,segment_337534_news_type,segment_337534_topic_primary,segment_337534_topic_secondary,segment_337534_issue_primary,segment_337534_issue_secondary,segment_135623_news_type,segment_135623_topic_primary,segment_135623_topic_secondary,segment_135623_issue_primary,segment_135623_issue_secondary,segment_1409840_news_type,segment_1409840_topic_primary,segment_1409840_topic_secondary,segment_1409840_issue_primary,segment_1409840_issue_secondary,segment_1067707_news_type,segment_1067707_topic_primary,segment_1067707_topic_secondary,segment_1067707_issue_primary,segment_1067707_issue_secondary,segment_1157720_news_type,segment_1157720_topic_primary,segment_1157720_topic_secondary,segment_1157720_issue_primary,segment_1157720_issue_secondary,segment_85952_news_type,segment_85952_topic_primary,segment_85952_topic_secondary,segment_85952_issue_primary,segment_85952_issue_secondary,segment_1331424_news_type,segment_1331424_topic_primary,segment_1331424_topic_secondary,segment_1331424_issue_primary,segment_1331424_issue_secondary,segment_174999_news_type,segment_174999_topic_primary,segment_174999_topic_secondary,segment_174999_issue_primary,segment_174999_issue_secondary,segment_960243_news_type,segment_960243_topic_primary,segment_960243_topic_secondary,segment_960243_issue_primary,segment_960243_issue_secondary,segment_351760_news_type,segment_351760_topic_primary,segment_351760_topic_secondary,segment_351760_issue_primary,segment_351760_issue_secondary,segment_731744_news_type,segment_731744_topic_primary,segment_731744_topic_secondary,segment_731744_issue_primary,segment_731744_issue_secondary,segment_454165_news_type,segment_454165_topic_primary,segment_454165_topic_secondary,segment_454165_issue_primary,segment_454165_issue_secondary,segment_262459_news_type,segment_262459_topic_primary,segment_262459_topic_secondary,segment_262459_issue_primary,segment_262459_issue_secondary,segment_779968_news_type,segment_779968_topic_primary,segment_779968_topic_secondary,segment_779968_issue_primary,segment_779968_issue_secondary,segment_114879_news_type,segment_114879_topic_primary,segment_114879_topic_secondary,segment_114879_issue_primary,segment_114879_issue_secondary,segment_522367_news_type,segment_522367_topic_primary,segment_522367_topic_secondary,segment_522367_issue_primary,segment_522367_issue_secondary,segment_390_news_type,segment_390_topic_primary,segment_390_topic_secondary,segment_390_issue_primary,segment_390_issue_secondary,segment_136816_news_type,segment_136816_topic_primary,segment_136816_topic_secondary,segment_136816_issue_primary,segment_136816_issue_secondary,segment_125488_news_type,segment_125488_topic_primary,segment_125488_topic_secondary,segment_125488_issue_primary,segment_125488_issue_secondary,segment_97131_news_type,segment_97131_topic_primary,segment_97131_topic_secondary,segment_97131_issue_primary,segment_97131_issue_secondary,segment_936519_news_type,segment_936519_topic_primary,segment_936519_topic_secondary,segment_936519_issue_primary,segment_936519_issue_secondary,segment_981155_news_type,segment_981155_topic_primary,segment_981155_topic_secondary,segment_981155_issue_primary,segment_981155_issue_secondary,segment_231568_news_type,segment_231568_topic_primary,segment_231568_topic_secondary,segment_231568_issue_primary,segment_231568_issue_secondary,segment_561831_news_type,segment_561831_topic_primary,segment_561831_topic_secondary,segment_561831_issue_primary,segment_561831_issue_secondary,segment_776622_news_type,segment_776622_topic_primary,segment_776622_topic_secondary,segment_776622_issue_primary,segment_776622_issue_secondary,segment_187640_news_type,segment_187640_topic_primary,segment_187640_topic_secondary,segment_187640_issue_primary,segment_187640_issue_secondary,segment_276610_news_type,segment_276610_topic_primary,segment_276610_topic_secondary,segment_276610_issue_primary,segment_276610_issue_secondary,segment_1360770_news_type,segment_1360770_topic_primary,segment_1360770_topic_secondary,segment_1360770_issue_primary,segment_1360770_issue_secondary,segment_1133316_news_type,segment_1133316_topic_primary,segment_1133316_topic_secondary,segment_1133316_issue_primary,segment_1133316_issue_secondary,segment_72779_news_type,segment_72779_topic_primary,segment_72779_topic_secondary,segment_72779_issue_primary,segment_72779_issue_secondary,segment_1317091_news_type,segment_1317091_topic_primary,segment_1317091_topic_secondary,segment_1317091_issue_primary,segment_1317091_issue_secondary,segment_1084570_news_type,segment_1084570_topic_primary,segment_1084570_topic_secondary,segment_1084570_issue_primary,segment_1084570_issue_secondary,segment_508335_news_type,segment_508335_topic_primary,segment_508335_topic_secondary,segment_508335_issue_primary,segment_508335_issue_secondary,segment_1160996_news_type,segment_1160996_topic_primary,segment_1160996_topic_secondary,segment_1160996_issue_primary,segment_1160996_issue_secondary,segment_1207242_news_type,segment_1207242_topic_primary,segment_1207242_topic_secondary,segment_1207242_issue_primary,segment_1207242_issue_secondary,segment_357606_news_type,segment_357606_topic_primary,segment_357606_topic_secondary,segment_357606_issue_primary,segment_357606_issue_secondary,segment_39619_news_type,segment_39619_topic_primary,segment_39619_topic_secondary,segment_39619_issue_primary,segment_39619_issue_secondary,segment_383075_news_type,segment_383075_topic_primary,segment_383075_topic_secondary,segment_383075_issue_primary,segment_383075_issue_secondary,segment_749323_news_type,segment_749323_topic_primary,segment_749323_topic_secondary,segment_749323_issue_primary,segment_749323_issue_secondary,segment_285253_news_type,segment_285253_topic_primary,segment_285253_topic_secondary,segment_285253_issue_primary,segment_285253_issue_secondary,segment_565680_news_type,segment_565680_topic_primary,segment_565680_topic_secondary,segment_565680_issue_primary,segment_565680_issue_secondary,segment_517379_news_type,segment_517379_topic_primary,segment_517379_topic_secondary,segment_517379_issue_primary,segment_517379_issue_secondary,segment_1183897_news_type,segment_1183897_topic_primary,segment_1183897_topic_secondary,segment_1183897_issue_primary,segment_1183897_issue_secondary,segment_86980_news_type,segment_86980_topic_primary,segment_86980_topic_secondary,segment_86980_issue_primary,segment_86980_issue_secondary,segment_234033_news_type,segment_234033_topic_primary,segment_234033_topic_secondary,segment_234033_issue_primary,segment_234033_issue_secondary,segment_158144_news_type,segment_158144_topic_primary,segment_158144_topic_secondary,segment_158144_issue_primary,segment_158144_issue_secondary,segment_1343575_news_type,segment_1343575_topic_primary,segment_1343575_topic_secondary,segment_1343575_issue_primary,segment_1343575_issue_secondary,segment_1380245_news_type,segment_1380245_topic_primary,segment_1380245_topic_secondary,segment_1380245_issue_primary,segment_1380245_issue_secondary
58f09f33f0,607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hard News (e.g., politics, economics, crime)",Political Campaigns and Elections,,1968 Presidential Election,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hard News (e.g., politics, economics, crime)",Health and Medical Advances,Military and Defense,USA and Iraq Tensions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hard News (e.g., politics, economics, crime)",Economic and Market Dynamics,,This abstract does not match any of the issues.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6c981fd08e,657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hard News (e.g., politics, economics, crime)",Social and Public Policy Issues,Economic and Market Dynamics,Economic Recession,This abstract does not match any of the issues.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Soft News (e.g., entertainment, sports, human interest)",Cultural Heritage and Preservation,Culture and Entertainment,This abstract does not match any of the issues.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hard News (e.g., politics, economics, crime)",Terrorism and Global Security,No topic matches this abstract.,Mass Shootings in the US,This abstract does not match any of the issues.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0d456389a5,626,,,,,,"Hard News (e.g., politics, economics, crime)",No topic matches this abstract.,,This abstract does not match any of the issues.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hard News (e.g., politics, economics, crime)",Terrorism and Global Security,Public Welfare and Safety,This abstract does not match any of the issues.,This abstract does not match any of the issues.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hard News (e.g., politics, economics, crime)",Terrorism and Global Security,,This abstract does not match any of the issues.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7f1317ec0e,627,,,,,,,,,,,,,,,,,,,,,"Hard News (e.g., politics, economics, crime)",Historical Events and Anniversaries,Social and Public Policy Issues,This abstract does not match any of the issues.,This abstract does not match any of the issues.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Soft News (e.g., entertainment, sports, human interest)",Culture and Entertainment,No topic matches this abstract.,This abstract does not match any of the issues.,This abstract does not match any of the issues.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hard News (e.g., politics, economics, crime)",Public Welfare and Safety,Environmental Protection and Sustainability,Climate Change and Environmental Disasters,This abstract does not match any of the issues.
eaa071e59d,705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Soft News (e.g., entertainment, sports, human interest)",Military and Defense,No topic matches this abstract.,This abstract does not match any of the issues.,This abstract does not match any of the issues.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Soft News (e.g., entertainment, sports, human interest)",Natural Disasters and Emergency Management,No topic matches this abstract.,Climate Change Initiatives,This abstract does not match any of the issues.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hard News (e.g., politics, economics, crime)",Economic and Market Dynamics,No topic matches this abstract.,Economic Instability,This abstract does not match any of the issues.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76b875cf51,662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hard News (e.g., politics, economics, crime)",Legal Affairs and Governance,Media and Digital Transformation,2012 Presidential Election Campaign,President Obama's Health Care Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hard News (e.g., politics, economics, crime)",Environmental Protection and Sustainability,,Climate Change Effects,,,,,,,,,,,,,,,,,,,,,,"Hard News (e.g., politics, economics, crime)",Military and Defense,,NAFTA Effects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cc62c5c777,607,,,,,,,,,,,,,,,,,,,,,,,,,,"Hard News (e.g., politics, economics, crime)",Legal Affairs and Governance,,Energy Crisis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hard News (e.g., politics, economics, crime)",Civil Rights and Social Movements,,International Relations and Diplomacy,,,,,,,,,,,,,,,,,,,,,,"Hard News (e.g., politics, economics, crime)",Terrorism and Global Security,,San Bernardino Shooting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8e46278b62,759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hard News (e.g., politics, economics, crime)",Environmental Protection and Sustainability,Environmental Protection and Sustainability,Gulf of Mexico Oil Spill,Economic Recession,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hard News (e.g., politics, economics, crime)",Natural Disasters and Emergency Management,Public Welfare and Safety,Immigration and Border Policy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hard News (e.g., politics, economics, crime)",Legal Affairs and Governance,Legal Affairs and Governance,Terrorism Concerns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
706f6e9f21,786,"Hard News (e.g., politics, economics, crime)",Legal Affairs and Governance,No topic matches this abstract.,This abstract does not match any of the issues.,This abstract does not match any of the issues.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hard News (e.g., politics, economics, crime)",Legal Affairs and Governance,Political Campaigns and Elections,This abstract does not match any of the issues.,This abstract does not match any of the issues.,,,,,,,,,,,,,,,,,,,,,"Hard News (e.g., politics, economics, crime)",International Relations and Global Policy,International Relations and Global Policy,This abstract does not match any of the issues.,This abstract does not match any of the issues.,,,,,,,,,,
d7efae01ba,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hard News (e.g., politics, economics, crime)",Civil Rights and Social Movements,Cultural Heritage and Preservation,Mass Shootings in the US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hard News (e.g., politics, economics, crime)",Military and Defense,Terrorism and Global Security,US-Iraq Conflict,,,,,,,,,,,,,,,,,,,,,,"Hard News (e.g., politics, economics, crime)",Environmental Protection and Sustainability,,Black Lives Matter and Police Shootings,,,,,,,,,,,,,,,,,,,,,,,,,,
601641e3ab,759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hard News (e.g., politics, economics, crime)",Military and Defense,International Relations and Global Policy,Romanian Revolution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Soft News (e.g., entertainment, sports, human interest)",Civil Rights and Social Movements,Social and Public Policy Issues,U.S.-China Relations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hard News (e.g., politics, economics, crime)",Social and Public Policy Issues,,This abstract does not match any of the issues.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
